structure,layout,block_cap,n,q,dist,hit_pct,seed,rep,build_ms,prep_ms,search_ns,insert_ns,hits,expected_hits,mem_bytes,bytes_per_key
skiplist,nodes,0,200000,500000,uniform,50,42,0,62.052,0.000,319.10,310.26,250153,250153,3465512,17.33
csl,sorted,32,200000,500000,uniform,50,42,0,69.666,0.000,230.38,348.33,250153,250153,2609704,13.05
csl,sorted,128,200000,500000,uniform,50,42,0,56.081,0.000,150.12,280.40,250153,250153,2358696,11.79
csl,sorted,512,200000,500000,uniform,50,42,0,70.457,0.000,107.22,352.28,250153,250153,2165268,10.83
csl,sorted,2048,200000,500000,uniform,50,42,0,122.928,0.000,104.77,614.64,250153,250153,2101888,10.51
skiplist,nodes,0,200000,500000,uniform,50,42,1,69.169,0.000,356.21,345.84,250153,250153,3465512,17.33
csl,sorted,32,200000,500000,uniform,50,42,1,59.873,0.000,271.68,299.36,250153,250153,2604160,13.02
csl,sorted,128,200000,500000,uniform,50,42,1,66.745,0.000,181.24,333.72,250153,250153,2361868,11.81
csl,sorted,512,200000,500000,uniform,50,42,1,75.885,0.000,124.59,379.43,250153,250153,2123960,10.62
csl,sorted,2048,200000,500000,uniform,50,42,1,197.382,0.000,156.84,986.91,250153,250153,2101888,10.51
skiplist,nodes,0,200000,500000,uniform,50,42,2,97.365,0.000,342.27,486.83,250153,250153,3465512,17.33
csl,sorted,32,200000,500000,uniform,50,42,2,66.980,0.000,285.15,334.90,250153,250153,2618760,13.09
csl,sorted,128,200000,500000,uniform,50,42,2,57.742,0.000,181.28,288.71,250153,250153,2354460,11.77
csl,sorted,512,200000,500000,uniform,50,42,2,79.351,0.000,130.01,396.76,250153,250153,2128088,10.64
csl,sorted,2048,200000,500000,uniform,50,42,2,146.463,0.000,117.54,732.31,250153,250153,2101888,10.51
array,sorted,0,10000,500000,uniform,50,42,0,0.000,0.000,119.64,0.00,250205,250205,80000,8.00
array-bl,sorted,0,10000,500000,uniform,50,42,0,0.000,0.000,20.94,0.00,250205,250205,80000,8.00
array-eyt,eyt,0,10000,500000,uniform,50,42,0,0.000,0.000,45.39,0.00,250205,250205,80000,8.00
skiplist,nodes,0,10000,500000,uniform,50,42,0,1.736,0.000,163.28,0.00,250205,250205,173356,17.34
csl,sorted,8,10000,500000,uniform,50,42,0,0.768,0.129,146.11,0.00,250205,250205,128404,12.84
csl-eyt,eyt,8,10000,500000,uniform,50,42,0,0.692,0.401,154.21,0.00,250205,250205,128404,12.84
csl,sorted,16,10000,500000,uniform,50,42,0,0.373,0.065,134.00,0.00,250205,250205,104224,10.42
csl-eyt,eyt,16,10000,500000,uniform,50,42,0,0.307,0.128,132.16,0.00,250205,250205,104224,10.42
csl,sorted,32,10000,500000,uniform,50,42,0,0.227,0.032,102.39,0.00,250205,250205,92280,9.23
csl-eyt,eyt,32,10000,500000,uniform,50,42,0,0.167,0.075,89.07,0.00,250205,250205,92280,9.23
csl,sorted,64,10000,500000,uniform,50,42,0,0.145,0.012,95.54,0.00,250205,250205,86552,8.66
csl-eyt,eyt,64,10000,500000,uniform,50,42,0,0.129,0.054,89.23,0.00,250205,250205,86552,8.66
csl,sorted,128,10000,500000,uniform,50,42,0,0.101,0.006,74.57,0.00,250205,250205,84032,8.40
csl-eyt,eyt,128,10000,500000,uniform,50,42,0,0.115,0.058,93.92,0.00,250205,250205,84032,8.40
csl,sorted,256,10000,500000,uniform,50,42,0,0.115,0.005,75.12,0.00,250205,250205,83580,8.36
csl-eyt,eyt,256,10000,500000,uniform,50,42,0,0.063,0.035,68.84,0.00,250205,250205,83580,8.36
csl,sorted,512,10000,500000,uniform,50,42,0,0.087,0.003,61.47,0.00,250205,250205,82816,8.28
csl-eyt,eyt,512,10000,500000,uniform,50,42,0,0.086,0.030,83.01,0.00,250205,250205,82816,8.28
csl,sorted,1024,10000,500000,uniform,50,42,0,0.083,0.003,61.13,0.00,250205,250205,82452,8.25
csl-eyt,eyt,1024,10000,500000,uniform,50,42,0,0.077,0.034,56.02,0.00,250205,250205,82452,8.25
csl,sorted,2048,10000,500000,uniform,50,42,0,0.070,0.002,65.75,0.00,250205,250205,82256,8.23
csl-eyt,eyt,2048,10000,500000,uniform,50,42,0,0.073,0.045,52.15,0.00,250205,250205,82256,8.23
csl,sorted,4096,10000,500000,uniform,50,42,0,0.095,0.001,49.89,0.00,250205,250205,98568,9.86
csl-eyt,eyt,4096,10000,500000,uniform,50,42,0,0.078,0.050,47.71,0.00,250205,250205,98568,9.86
array,sorted,0,10000,500000,uniform,50,42,1,0.000,0.000,85.27,0.00,250205,250205,80000,8.00
array-bl,sorted,0,10000,500000,uniform,50,42,1,0.000,0.000,16.06,0.00,250205,250205,80000,8.00
array-eyt,eyt,0,10000,500000,uniform,50,42,1,0.000,0.000,32.99,0.00,250205,250205,80000,8.00
skiplist,nodes,0,10000,500000,uniform,50,42,1,1.504,0.000,129.05,0.00,250205,250205,173356,17.34
csl,sorted,8,10000,500000,uniform,50,42,1,0.467,0.088,125.07,0.00,250205,250205,128404,12.84
csl-eyt,eyt,8,10000,500000,uniform,50,42,1,0.594,0.238,141.26,0.00,250205,250205,128404,12.84
csl,sorted,16,10000,500000,uniform,50,42,1,0.416,0.074,124.62,0.00,250205,250205,104224,10.42
csl-eyt,eyt,16,10000,500000,uniform,50,42,1,0.319,0.103,135.71,0.00,250205,250205,104224,10.42
csl,sorted,32,10000,500000,uniform,50,42,1,0.213,0.031,112.58,0.00,250205,250205,92280,9.23
csl-eyt,eyt,32,10000,500000,uniform,50,42,1,0.154,0.062,110.45,0.00,250205,250205,92280,9.23
csl,sorted,64,10000,500000,uniform,50,42,1,0.345,0.066,93.98,0.00,250205,250205,86552,8.66
csl-eyt,eyt,64,10000,500000,uniform,50,42,1,0.122,0.056,105.62,0.00,250205,250205,86552,8.66
csl,sorted,128,10000,500000,uniform,50,42,1,0.147,0.012,78.49,0.00,250205,250205,84032,8.40
csl-eyt,eyt,128,10000,500000,uniform,50,42,1,0.102,0.042,98.49,0.00,250205,250205,84032,8.40
csl,sorted,256,10000,500000,uniform,50,42,1,0.077,0.005,77.06,0.00,250205,250205,83580,8.36
csl-eyt,eyt,256,10000,500000,uniform,50,42,1,0.079,0.050,97.84,0.00,250205,250205,83580,8.36
csl,sorted,512,10000,500000,uniform,50,42,1,0.085,0.004,76.46,0.00,250205,250205,82816,8.28
csl-eyt,eyt,512,10000,500000,uniform,50,42,1,0.052,0.034,87.15,0.00,250205,250205,82816,8.28
csl,sorted,1024,10000,500000,uniform,50,42,1,0.155,0.003,74.62,0.00,250205,250205,82452,8.25
csl-eyt,eyt,1024,10000,500000,uniform,50,42,1,0.081,0.048,57.21,0.00,250205,250205,82452,8.25
csl,sorted,2048,10000,500000,uniform,50,42,1,0.091,0.002,49.45,0.00,250205,250205,82256,8.23
csl-eyt,eyt,2048,10000,500000,uniform,50,42,1,0.102,0.042,50.91,0.00,250205,250205,82256,8.23
csl,sorted,4096,10000,500000,uniform,50,42,1,0.087,0.001,45.22,0.00,250205,250205,98568,9.86
csl-eyt,eyt,4096,10000,500000,uniform,50,42,1,0.083,0.047,46.37,0.00,250205,250205,98568,9.86
array,sorted,0,10000,500000,uniform,50,42,2,0.000,0.000,76.20,0.00,250205,250205,80000,8.00
array-bl,sorted,0,10000,500000,uniform,50,42,2,0.000,0.000,15.73,0.00,250205,250205,80000,8.00
array-eyt,eyt,0,10000,500000,uniform,50,42,2,0.000,0.000,30.97,0.00,250205,250205,80000,8.00
skiplist,nodes,0,10000,500000,uniform,50,42,2,1.380,0.000,149.17,0.00,250205,250205,173356,17.34
csl,sorted,8,10000,500000,uniform,50,42,2,0.703,0.133,149.28,0.00,250205,250205,128404,12.84
csl-eyt,eyt,8,10000,500000,uniform,50,42,2,0.630,0.298,133.88,0.00,250205,250205,128404,12.84
csl,sorted,16,10000,500000,uniform,50,42,2,0.273,0.049,93.90,0.00,250205,250205,104224,10.42
csl-eyt,eyt,16,10000,500000,uniform,50,42,2,0.256,0.100,108.73,0.00,250205,250205,104224,10.42
csl,sorted,32,10000,500000,uniform,50,42,2,0.283,0.038,111.43,0.00,250205,250205,92280,9.23
csl-eyt,eyt,32,10000,500000,uniform,50,42,2,0.142,0.079,85.00,0.00,250205,250205,92280,9.23
csl,sorted,64,10000,500000,uniform,50,42,2,0.132,0.014,83.58,0.00,250205,250205,86552,8.66
csl-eyt,eyt,64,10000,500000,uniform,50,42,2,0.139,0.081,83.57,0.00,250205,250205,86552,8.66
csl,sorted,128,10000,500000,uniform,50,42,2,0.106,0.008,70.98,0.00,250205,250205,84032,8.40
csl-eyt,eyt,128,10000,500000,uniform,50,42,2,0.081,0.038,72.69,0.00,250205,250205,84032,8.40
csl,sorted,256,10000,500000,uniform,50,42,2,0.067,0.004,64.62,0.00,250205,250205,83580,8.36
csl-eyt,eyt,256,10000,500000,uniform,50,42,2,0.051,0.026,67.40,0.00,250205,250205,83580,8.36
csl,sorted,512,10000,500000,uniform,50,42,2,0.058,0.004,59.17,0.00,250205,250205,82816,8.28
