structure,layout,block_cap,n,q,dist,hit_pct,seed,rep,build_ms,prep_ms,search_ns,insert_ns,hits,expected_hits,mem_bytes,bytes_per_key
skiplist,nodes,0,200000,500000,uniform,50,42,0,62.052,0.000,319.10,310.26,250153,250153,3465512,17.33
csl,sorted,32,200000,500000,uniform,50,42,0,69.666,0.000,230.38,348.33,250153,250153,2609704,13.05
csl,sorted,128,200000,500000,uniform,50,42,0,56.081,0.000,150.12,280.40,250153,250153,2358696,11.79
csl,sorted,512,200000,500000,uniform,50,42,0,70.457,0.000,107.22,352.28,250153,250153,2165268,10.83
csl,sorted,2048,200000,500000,uniform,50,42,0,122.928,0.000,104.77,614.64,250153,250153,2101888,10.51
skiplist,nodes,0,200000,500000,uniform,50,42,1,69.169,0.000,356.21,345.84,250153,250153,3465512,17.33
csl,sorted,32,200000,500000,uniform,50,42,1,59.873,0.000,271.68,299.36,250153,250153,2604160,13.02
csl,sorted,128,200000,500000,uniform,50,42,1,66.745,0.000,181.24,333.72,250153,250153,2361868,11.81
csl,sorted,512,200000,500000,uniform,50,42,1,75.885,0.000,124.59,379.43,250153,250153,2123960,10.62
csl,sorted,2048,200000,500000,uniform,50,42,1,197.382,0.000,156.84,986.91,250153,250153,2101888,10.51
skiplist,nodes,0,200000,500000,uniform,50,42,2,97.365,0.000,342.27,486.83,250153,250153,3465512,17.33
csl,sorted,32,200000,500000,uniform,50,42,2,66.980,0.000,285.15,334.90,250153,250153,2618760,13.09
csl,sorted,128,200000,500000,uniform,50,42,2,57.742,0.000,181.28,288.71,250153,250153,2354460,11.77
csl,sorted,512,200000,500000,uniform,50,42,2,79.351,0.000,130.01,396.76,250153,250153,2128088,10.64
csl,sorted,2048,200000,500000,uniform,50,42,2,146.463,0.000,117.54,732.31,250153,250153,2101888,10.51
