structure,layout,block_cap,n,q,dist,hit_pct,seed,rep,build_ms,prep_ms,search_ns,insert_ns,hits,expected_hits,mem_bytes,bytes_per_key
array,sorted,0,10000,500000,uniform,50,42,0,0.000,0.000,119.64,0.00,250205,250205,80000,8.00
array-bl,sorted,0,10000,500000,uniform,50,42,0,0.000,0.000,20.94,0.00,250205,250205,80000,8.00
array-eyt,eyt,0,10000,500000,uniform,50,42,0,0.000,0.000,45.39,0.00,250205,250205,80000,8.00
skiplist,nodes,0,10000,500000,uniform,50,42,0,1.736,0.000,163.28,0.00,250205,250205,173356,17.34
csl,sorted,8,10000,500000,uniform,50,42,0,0.768,0.129,146.11,0.00,250205,250205,128404,12.84
csl-eyt,eyt,8,10000,500000,uniform,50,42,0,0.692,0.401,154.21,0.00,250205,250205,128404,12.84
csl,sorted,16,10000,500000,uniform,50,42,0,0.373,0.065,134.00,0.00,250205,250205,104224,10.42
csl-eyt,eyt,16,10000,500000,uniform,50,42,0,0.307,0.128,132.16,0.00,250205,250205,104224,10.42
csl,sorted,32,10000,500000,uniform,50,42,0,0.227,0.032,102.39,0.00,250205,250205,92280,9.23
csl-eyt,eyt,32,10000,500000,uniform,50,42,0,0.167,0.075,89.07,0.00,250205,250205,92280,9.23
csl,sorted,64,10000,500000,uniform,50,42,0,0.145,0.012,95.54,0.00,250205,250205,86552,8.66
csl-eyt,eyt,64,10000,500000,uniform,50,42,0,0.129,0.054,89.23,0.00,250205,250205,86552,8.66
csl,sorted,128,10000,500000,uniform,50,42,0,0.101,0.006,74.57,0.00,250205,250205,84032,8.40
csl-eyt,eyt,128,10000,500000,uniform,50,42,0,0.115,0.058,93.92,0.00,250205,250205,84032,8.40
csl,sorted,256,10000,500000,uniform,50,42,0,0.115,0.005,75.12,0.00,250205,250205,83580,8.36
csl-eyt,eyt,256,10000,500000,uniform,50,42,0,0.063,0.035,68.84,0.00,250205,250205,83580,8.36
csl,sorted,512,10000,500000,uniform,50,42,0,0.087,0.003,61.47,0.00,250205,250205,82816,8.28
csl-eyt,eyt,512,10000,500000,uniform,50,42,0,0.086,0.030,83.01,0.00,250205,250205,82816,8.28
csl,sorted,1024,10000,500000,uniform,50,42,0,0.083,0.003,61.13,0.00,250205,250205,82452,8.25
csl-eyt,eyt,1024,10000,500000,uniform,50,42,0,0.077,0.034,56.02,0.00,250205,250205,82452,8.25
csl,sorted,2048,10000,500000,uniform,50,42,0,0.070,0.002,65.75,0.00,250205,250205,82256,8.23
csl-eyt,eyt,2048,10000,500000,uniform,50,42,0,0.073,0.045,52.15,0.00,250205,250205,82256,8.23
csl,sorted,4096,10000,500000,uniform,50,42,0,0.095,0.001,49.89,0.00,250205,250205,98568,9.86
csl-eyt,eyt,4096,10000,500000,uniform,50,42,0,0.078,0.050,47.71,0.00,250205,250205,98568,9.86
array,sorted,0,10000,500000,uniform,50,42,1,0.000,0.000,85.27,0.00,250205,250205,80000,8.00
array-bl,sorted,0,10000,500000,uniform,50,42,1,0.000,0.000,16.06,0.00,250205,250205,80000,8.00
array-eyt,eyt,0,10000,500000,uniform,50,42,1,0.000,0.000,32.99,0.00,250205,250205,80000,8.00
skiplist,nodes,0,10000,500000,uniform,50,42,1,1.504,0.000,129.05,0.00,250205,250205,173356,17.34
csl,sorted,8,10000,500000,uniform,50,42,1,0.467,0.088,125.07,0.00,250205,250205,128404,12.84
